Image,Accuracy,F1 Score,IoU,Recall,Precision
0008.png,0.9668655395507812,0.9437494315257747,0.8947294548004033,0.951387220732172,0.936604149740563
0010.png,0.9692662556966146,0.9014711776951506,0.8279386836426235,0.8947422875844984,0.9274057074423484
0014.png,0.9733657836914062,0.9258473663777919,0.8661965231068613,0.9250523880349347,0.9378396631897242
0016.png,0.9412511189778646,0.8340801825274561,0.734627597610146,0.8338717360696396,0.8946442508925849
0035.png,0.9759114583333334,0.9522603830517679,0.9098667365335098,0.9658180573893178,0.941164069856225
0039.png,0.9846242268880209,0.9805915832164253,0.9621144408860799,0.9851203407838193,0.9763244450234468
0040.png,0.9776382446289062,0.9064829289326871,0.837681419002784,0.9042501784978384,0.9172993914306908
0050.png,0.9778772989908854,0.9219743029374475,0.8630039450328453,0.8937986797563884,0.9621819856979735
0057.png,0.9576365152994791,0.9196997536158046,0.8556732435030238,0.9219725963071582,0.9230836157084902
0060.png,0.9870529174804688,0.9816817137149648,0.9641723756193069,0.9830082446198194,0.9807855451474037
0062.png,0.5506235758463541,0.23677792869344216,0.1835962872701803,0.2658616430046686,0.2134299374045049
0074.png,0.9936192830403646,0.9918858506015896,0.9839164784990811,0.9934949888059729,0.9903292103313609
0083.png,0.9516652425130209,0.9271469795164795,0.8678442903590525,0.9406556977381003,0.9235141617855334
0084.png,0.7451375325520834,0.3656017040595909,0.2953773053511074,0.3784894045782961,0.5833708078980552
0093.png,0.8298467000325521,0.5114616575569123,0.4255947109643454,0.4920285656116392,0.6002328120193728
0099.png,0.9772669474283854,0.9458720372610999,0.8996050581329186,0.9514045026825784,0.9446511887917568
0104.png,0.9716313680013021,0.8742328256981423,0.7873819044047083,0.8701891215942624,0.9013000719907803
0109.png,0.9606653849283854,0.9368171203389939,0.8838727303896591,0.9458506844923193,0.9308478594885711
0115.png,0.982330322265625,0.9654144370461081,0.9339573696073454,0.9658678119836583,0.9651487418217254

Mean Metrics,0.93023,0.84332,0.78827,0.84541,0.86580
