Image,Accuracy,F1 Score,IoU,Recall,Precision
0008.png,0.984954833984375,0.9684067023314209,0.9392340354546809,0.960980720298018,0.9760891135736837
0010.png,0.9726359049479166,0.9160099806432515,0.8502356954952165,0.908190764474352,0.9357927970313629
0014.png,0.9790598551432291,0.9431479308186276,0.8949106299106612,0.9446899468310374,0.9442064037629958
0016.png,0.9494400024414062,0.8586187845410707,0.7668219112941769,0.857858897695348,0.9051862036457553
0035.png,0.994781494140625,0.9776147733582953,0.9571699518309282,0.9680312784506521,0.9878569192056071
0039.png,0.9886627197265625,0.9863650030748108,0.9731348735960856,0.9839877155767738,0.9887958243679201
0040.png,0.9767100016276041,0.9093500986624758,0.8413134385815836,0.9161878689878523,0.9038280706132968
0050.png,0.9760360717773438,0.9141703016640431,0.8470488211774083,0.9065749908545532,0.9323044866843843
0057.png,0.9627431233723959,0.9282947840158738,0.8698510540665083,0.9309713693627543,0.9293576068758119
0060.png,0.9899215698242188,0.9869102716231125,0.9742088639295101,0.9901481136441953,0.9837961294014613
0062.png,0.6692606608072916,0.2678906175601673,0.22341479367041042,0.323422378428809,0.22990524987778485
0074.png,0.9939905802408854,0.9925027250054873,0.9851295587679006,0.9941699382607014,0.990854610813593
0083.png,0.9654744466145834,0.9485365284342923,0.9039348589918698,0.9578633666165696,0.9423964297929045
0084.png,0.7747777303059896,0.41733236116684136,0.33559248402278047,0.41176980977972094,0.5901286279204782
0093.png,0.7716547648111979,0.43775136659034497,0.3480725831528773,0.432302841422225,0.582436408397319
0099.png,0.9811274210611979,0.9562196062215681,0.9175929023404019,0.9603348560141045,0.9553635398659811
0104.png,0.9813588460286459,0.9160514828306822,0.8502077913616722,0.9182828313651198,0.9252321373249016
0109.png,0.9747263590494791,0.9612409569797388,0.9262951567539508,0.9669920723662235,0.9559427331655579
0115.png,0.9808578491210938,0.9618106125315418,0.9275160221353325,0.9648307158098349,0.9592317847062978

Mean Metrics,0.94043,0.85517,0.80693,0.85777,0.87467
